suite,benchmark,env_name,offline_steps,online_steps,batch_size,discount,flow_steps,q_agg,alpha,encoder,p_aug,frame_stack
offline,OGBench,antmaze_large_navigate_singletask_task1_v0,1000000,0,256,0.99,10,min,10,,,
offline,OGBench,antmaze_large_navigate_singletask_task2_v0,1000000,0,256,0.99,10,min,10,,,
offline,OGBench,antmaze_large_navigate_singletask_task3_v0,1000000,0,256,0.99,10,min,10,,,
offline,OGBench,antmaze_large_navigate_singletask_task4_v0,1000000,0,256,0.99,10,min,10,,,
offline,OGBench,antmaze_large_navigate_singletask_task5_v0,1000000,0,256,0.99,10,min,10,,,
offline,OGBench,antmaze_giant_navigate_singletask_task1_v0,1000000,0,256,0.995,10,min,10,,,
offline,OGBench,antmaze_giant_navigate_singletask_task2_v0,1000000,0,256,0.995,10,min,10,,,
offline,OGBench,antmaze_giant_navigate_singletask_task3_v0,1000000,0,256,0.995,10,min,10,,,
offline,OGBench,antmaze_giant_navigate_singletask_task4_v0,1000000,0,256,0.995,10,min,10,,,
offline,OGBench,antmaze_giant_navigate_singletask_task5_v0,1000000,0,256,0.995,10,min,10,,,
offline,OGBench,humanoidmaze_medium_navigate_singletask_task1_v0,1000000,0,256,0.995,10,mean,30,,,
offline,OGBench,humanoidmaze_medium_navigate_singletask_task2_v0,1000000,0,256,0.995,10,mean,30,,,
offline,OGBench,humanoidmaze_medium_navigate_singletask_task3_v0,1000000,0,256,0.995,10,mean,30,,,
offline,OGBench,humanoidmaze_medium_navigate_singletask_task4_v0,1000000,0,256,0.995,10,mean,30,,,
offline,OGBench,humanoidmaze_medium_navigate_singletask_task5_v0,1000000,0,256,0.995,10,mean,30,,,
offline,OGBench,humanoidmaze_large_navigate_singletask_task1_v0,1000000,0,256,0.995,10,mean,30,,,
offline,OGBench,humanoidmaze_large_navigate_singletask_task2_v0,1000000,0,256,0.995,10,mean,30,,,
offline,OGBench,humanoidmaze_large_navigate_singletask_task3_v0,1000000,0,256,0.995,10,mean,30,,,
offline,OGBench,humanoidmaze_large_navigate_singletask_task4_v0,1000000,0,256,0.995,10,mean,30,,,
offline,OGBench,humanoidmaze_large_navigate_singletask_task5_v0,1000000,0,256,0.995,10,mean,30,,,
offline,OGBench,antsoccer_arena_navigate_singletask_task1_v0,1000000,0,256,0.995,10,mean,10,,,
offline,OGBench,antsoccer_arena_navigate_singletask_task2_v0,1000000,0,256,0.995,10,mean,10,,,
offline,OGBench,antsoccer_arena_navigate_singletask_task3_v0,1000000,0,256,0.995,10,mean,10,,,
offline,OGBench,antsoccer_arena_navigate_singletask_task4_v0,1000000,0,256,0.995,10,mean,10,,,
offline,OGBench,antsoccer_arena_navigate_singletask_task5_v0,1000000,0,256,0.995,10,mean,10,,,
