benchmark,env_name,offline_steps,batch_size,discount,flow_steps,q_agg,target_agg,guidance_agg,alpha,eta_temperature
OGBench,visual_cube_double_play_singletask_task1_v0,500000,256,0.99,10,mean,mean,actor,0.3,0.01
OGBench,visual_cube_single_play_singletask_task1_v0,500000,256,0.99,10,mean,mean,actor,10,0.1
OGBench,visual_puzzle_3x3_play_singletask_task1_v0,500000,256,0.99,10,mean,actor,actor,3,0.01
OGBench,visual_puzzle_4x4_play_singletask_task1_v0,500000,256,0.99,10,mean,actor,actor,1,0.0001
OGBench,visual_scene_play_singletask_task1_v0,500000,256,0.99,10,mean,actor,actor,10,0.001
OGBench,antmaze_giant_navigate,1000000,1024,0.995,10,min,actor,min,0.1,0.1
OGBench,antmaze_large_explore,1000000,1024,0.995,10,min,actor,min,0.01,1e-06
OGBench,antmaze_large_navigate,1000000,256,0.995,10,min,actor,min,0.3,0.0001
OGBench,antmaze_large_stitch,1000000,256,0.995,10,min,actor,min,0.3,1e-06
OGBench,antsoccer_arena_navigate,1000000,256,0.995,10,mean,actor,min,0.1,0.01
OGBench,antsoccer_arena_stitch,1000000,256,0.995,10,mean,actor,min,0.1,0.01
OGBench,cube_double_noisy,1000000,256,0.99,10,mean,mean,actor,0.1,0.0001
OGBench,cube_double_play,1000000,256,0.99,10,mean,mean,actor,1,0.01
OGBench,cube_single_noisy,1000000,256,0.99,10,mean,mean,actor,10,0.001
OGBench,cube_single_play,1000000,256,0.99,10,mean,mean,actor,10,0.1
OGBench,cube_triple_noisy,1000000,1024,0.99,10,mean,mean,actor,0.1,1e-05
OGBench,cube_triple_play,1000000,1024,0.99,10,mean,mean,actor,1,1e-05
OGBench,humanoidmaze_large_navigate,1000000,1024,0.999,30,mean,actor,min,0.3,0.0001
OGBench,humanoidmaze_medium_navigate,1000000,256,0.995,10,mean,mean,min,0.3,0.001
OGBench,humanoidmaze_medium_stitch,1000000,256,0.999,10,mean,mean,min,0.3,0.001
OGBench,puzzle_3x3_play,1000000,256,0.99,10,mean,actor,actor,3,0.001
OGBench,puzzle_4x4_noisy,1000000,256,0.99,10,mean,actor,actor,3,0.001
OGBench,puzzle_4x4_play,1000000,256,0.99,10,mean,actor,actor,3,1e-05
OGBench,scene_noisy,1000000,256,0.99,10,mean,actor,actor,1,0.0001
