benchmark,env_name,offline_steps,batch_size,discount,q_agg,alpha_actor,alpha_critic
OGBench,antmaze_giant_navigate,1000000,1024,0.995,min,0.01,0.01
OGBench,antmaze_large_explore,1000000,1024,0.995,min,0.001,0.1
OGBench,antmaze_large_navigate,1000000,256,0.995,min,0.01,0.01
OGBench,antmaze_large_stitch,1000000,256,0.995,min,0.01,0.01
OGBench,antsoccer_arena_navigate,1000000,256,0.995,mean,0.01,0
OGBench,antsoccer_arena_stitch,1000000,256,0.995,mean,0.01,0.001
OGBench,cube_double_noisy,1000000,256,0.99,mean,0.01,0.01
OGBench,cube_double_play,1000000,256,0.99,mean,0.3,0.1
OGBench,cube_single_noisy,1000000,256,0.99,mean,0.1,0.1
OGBench,cube_triple_noisy,1000000,1024,0.99,mean,0.01,0
OGBench,cube_triple_play,1000000,1024,0.99,mean,0.1,0.001
OGBench,humanoidmaze_large_navigate,1000000,256,0.999,mean,0.01,0
OGBench,humanoidmaze_medium_navigate,1000000,256,0.995,mean,0.01,0.01
OGBench,humanoidmaze_medium_stitch,1000000,256,0.999,mean,0.01,0.01
OGBench,puzzle_4x4_noisy,1000000,256,0.99,mean,0.03,0.01
OGBench,puzzle_4x4_play,1000000,256,0.99,mean,0.1,0
OGBench,scene_noisy,1000000,256,0.99,mean,0.03,0
OGBench,scene_play,1000000,256,0.99,mean,0.1,0.001
Minari,D4RL_door_cloned_v2,1000000,256,0.99,mean,0.01,0
Minari,D4RL_door_expert_v2,1000000,256,0.99,mean,0.01,0
Minari,D4RL_door_human_v2,1000000,256,0.99,mean,0.03,0
Minari,D4RL_hammer_cloned_v2,1000000,256,0.99,mean,0.1,0.01
Minari,D4RL_hammer_expert_v2,1000000,256,0.99,mean,0.1,0.1
Minari,D4RL_hammer_human_v2,1000000,256,0.99,mean,0.1,0.01
Minari,D4RL_pen_cloned_v2,1000000,256,0.99,mean,0.01,0.001
Minari,D4RL_pen_expert_v2,1000000,256,0.99,mean,0.03,0
Minari,D4RL_pen_human_v2,1000000,256,0.99,mean,0.03,0.001
Minari,D4RL_relocate_cloned_v2,1000000,256,0.99,mean,1,0.001
Minari,D4RL_relocate_expert_v2,1000000,256,0.99,mean,0.1,0.001
Minari,D4RL_relocate_human_v2,1000000,256,0.99,mean,0.1,0.01
Minari,mujoco_halfcheetah_expert_v0,1000000,1024,0.99,mean,0.03,0.001
Minari,mujoco_halfcheetah_medium_v0,1000000,1024,0.99,mean,0.03,0
Minari,mujoco_halfcheetah_simple_v0,1000000,1024,0.99,mean,0.01,0.03
Minari,mujoco_hopper_expert_v0,1000000,1024,0.99,mean,0.3,0.01
Minari,mujoco_hopper_medium_v0,1000000,1024,0.99,mean,0.3,0.01
Minari,mujoco_hopper_simple_v0,1000000,1024,0.99,mean,0.03,0.001
Minari,mujoco_walker2d_expert_v0,1000000,1024,0.99,mean,0.1,0.001
Minari,mujoco_walker2d_medium_v0,1000000,1024,0.99,mean,0.03,0.001
Minari,mujoco_walker2d_simple_v0,1000000,1024,0.99,mean,0.1,0.01
