benchmark,env_name,offline_steps,batch_size,discount,flow_steps,q_agg,alpha,lambda_var,lambda_align
OGBench,antmaze_large_navigate,1000000,256,0.99,10,min,10,0.01,0.01
OGBench,antmaze_giant_navigate,1000000,256,0.995,10,min,10,0.01,0.01
OGBench,humanoidmaze_medium_navigate,1000000,256,0.995,10,mean,30,0.01,0.01
OGBench,humanoidmaze_large_navigate,1000000,256,0.995,10,mean,30,0.01,0.01
OGBench,antsoccer_arena_navigate,1000000,256,0.995,10,mean,10,0.01,0.01
OGBench,cube_single_play,1000000,256,0.99,10,mean,300,0.01,0.01
OGBench,cube_double_play,1000000,256,0.99,10,mean,300,0.01,0.01
OGBench,scene_play,1000000,256,0.99,10,mean,300,0.01,0.01
OGBench,puzzle_3x3_play,1000000,256,0.99,10,mean,1000,0.01,0.01
OGBench,puzzle_4x4_play,1000000,256,0.99,10,mean,1000,0.01,0.01
OGBench,visual_cube_single_play_singletask_task1_v0,500000,256,0.99,10,mean,300,0.01,0.01
OGBench,visual_cube_double_play_singletask_task1_v0,500000,256,0.99,10,mean,100,0.01,0.01
OGBench,visual_scene_play_singletask_task1_v0,500000,256,0.99,10,mean,100,0.01,0.01
OGBench,visual_puzzle_3x3_play_singletask_task1_v0,500000,256,0.99,10,mean,300,0.01,0.01
OGBench,visual_puzzle_4x4_play_singletask_task1_v0,500000,256,0.99,10,mean,300,0.01,0.01
D4RL,antmaze_umaze_v2,500000,256,0.99,10,mean,10,0.01,0.01
D4RL,antmaze_umaze_diverse_v2,500000,256,0.99,10,mean,10,0.01,0.01
D4RL,antmaze_medium_play_v2,500000,256,0.99,10,mean,10,0.01,0.01
D4RL,antmaze_medium_diverse_v2,500000,256,0.99,10,mean,10,0.01,0.01
D4RL,antmaze_large_play_v2,500000,256,0.99,10,mean,3,0.01,0.01
D4RL,antmaze_large_diverse_v2,500000,256,0.99,10,mean,3,0.01,0.01
D4RL,pen_human_v1,500000,256,0.99,10,min,10000,0.01,0.01
D4RL,pen_cloned_v1,500000,256,0.99,10,min,10000,0.01,0.01
D4RL,pen_expert_v1,500000,256,0.99,10,min,3000,0.01,0.01
D4RL,door_human_v1,500000,256,0.99,10,min,30000,0.01,0.01
D4RL,door_cloned_v1,500000,256,0.99,10,min,30000,0.01,0.01
D4RL,door_expert_v1,500000,256,0.99,10,min,30000,0.01,0.01
D4RL,hammer_human_v1,500000,256,0.99,10,min,30000,0.01,0.01
D4RL,hammer_cloned_v1,500000,256,0.99,10,min,10000,0.01,0.01
D4RL,hammer_expert_v1,500000,256,0.99,10,min,30000,0.01,0.01
D4RL,relocate_human_v1,500000,256,0.99,10,min,10000,0.01,0.01
D4RL,relocate_cloned_v1,500000,256,0.99,10,min,30000,0.01,0.01
D4RL,relocate_expert_v1,500000,256,0.99,10,min,30000,0.01,0.01
