benchmark,env_name,mean,std,all_values
OGBench,antmaze_giant_navigate,29.133333333333333,8.374498326599761,"[[32.33333333 36.          0.          0.         13.          0.
  22.          0.        ]
 [22.         70.33333333 73.         49.33333333 66.33333333 51.
   4.66666667 69.        ]
 [25.66666667 41.         23.33333333  4.66666667 21.33333333 21.
  21.         20.        ]
 [ 0.          0.          0.          0.          0.         14.33333333
   0.          0.        ]
 [82.33333333 55.66666667 70.         35.         77.33333333 87.66666667
  56.          0.        ]]"
OGBench,antmaze_large_stitch,69.75,1.9237550086571142,"[[89.         88.33333333 91.66666667 90.         89.66666667 92.
  93.         92.        ]
 [72.         62.33333333 78.33333333 66.66666667 64.33333333 75.66666667
  66.         57.        ]
 [97.66666667 97.         98.         97.         96.33333333 92.
  98.33333333 93.        ]
 [ 0.          0.          2.33333333  0.         22.66666667  8.
   1.          1.66666667]
 [91.         92.33333333 86.         89.33333333 91.33333333 87.
  92.         88.        ]]"
OGBench,antsoccer_arena_stitch,29.483333333333338,2.6005875404522643,"[[66.66666667 51.         57.66666667 55.66666667 46.33333333 53.66666667
  62.66666667 54.33333333]
 [57.         49.33333333 42.66666667 50.         48.         44.33333333
  36.66666667 47.33333333]
 [19.33333333 22.         27.66666667 20.         17.66666667 11.66666667
  22.33333333 23.        ]
 [18.         20.33333333 29.66666667  4.66666667 22.33333333 16.33333333
  27.         24.66666667]
 [ 3.          0.66666667  3.33333333  5.          1.66666667  0.66666667
   9.33333333  5.66666667]]"
OGBench,cube_double_noisy,55.70833333333333,3.350777273011935,"[[89.         87.33333333 92.66666667 82.66666667 86.33333333 91.66666667
  92.33333333 88.33333333]
 [67.33333333 50.33333333 71.33333333 64.66666667 67.         77.33333333
  62.         70.33333333]
 [64.         44.33333333 57.33333333 58.66666667 66.66666667 62.66666667
  73.33333333 58.66666667]
 [21.         21.33333333 20.66666667 28.33333333 28.66666667 33.33333333
  32.33333333 35.66666667]
 [42.         37.33333333 38.33333333 38.66666667 23.33333333 30.33333333
  38.         32.66666667]]"
OGBench,cube_double_play,50.375,3.5144048808676907,"[[78.         78.66666667 72.33333333 76.33333333 86.         84.66666667
  78.         74.66666667]
 [59.33333333 45.66666667 43.33333333 65.         63.33333333 56.
  48.33333333 58.66666667]
 [62.33333333 39.         36.33333333 44.33333333 46.66666667 44.
  41.33333333 61.66666667]
 [ 9.33333333 11.          3.33333333  8.66666667  6.          6.33333333
   9.33333333  9.66666667]
 [58.         72.         60.33333333 68.33333333 69.         64.33333333
  57.66666667 57.66666667]]"
OGBench,cube_triple_noisy,8.975,1.1224662825918457,"[[34.33333333 28.33333333 48.66666667 40.         42.         38.
  43.33333333 38.        ]
 [ 3.33333333  4.          3.33333333  2.          2.66666667  2.66666667
   3.33333333  3.        ]
 [ 0.66666667  0.66666667  0.          2.33333333  1.33333333  1.33333333
   1.66666667  3.66666667]
 [ 2.66666667  0.          1.          2.66666667  2.33333333  1.66666667
   0.          0.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.        ]]"
OGBench,cube_triple_play,9.891666666666666,2.905538293978893,"[[52.33333333 22.66666667 26.66666667 26.         27.66666667 37.66666667
  40.         43.33333333]
 [ 6.          4.          5.66666667  4.33333333  2.          8.
   2.33333333  7.33333333]
 [ 6.33333333  8.33333333  6.66666667  4.33333333  1.          8.33333333
  11.         21.        ]
 [ 1.33333333  1.33333333  1.          0.66666667  0.33333333  0.66666667
   1.66666667  0.66666667]
 [ 0.33333333  0.66666667  1.          0.66666667  0.          0.66666667
   0.33333333  1.33333333]]"
OGBench,humanoidmaze_large_navigate,14.325,3.51795987280507,"[[ 0.         29.         42.         49.66666667 34.66666667 32.66666667
  49.33333333 43.        ]
 [ 0.          0.          0.          0.          0.          0.
   0.          0.33333333]
 [34.         25.66666667 23.66666667 15.66666667 14.33333333 23.
  20.          0.        ]
 [ 0.         11.         11.33333333  0.33333333  1.66666667  0.
   1.         22.        ]
 [ 0.          6.         20.33333333 16.33333333  9.         27.66666667
   0.          9.33333333]]"
OGBench,humanoidmaze_medium_navigate,60.94166666666666,3.3518547933279526,"[[52.66666667 38.         42.66666667 39.33333333 17.33333333 40.
  40.66666667 51.33333333]
 [77.66666667 74.         79.33333333 77.66666667 77.33333333 75.
  87.         81.        ]
 [95.33333333 93.         92.         88.33333333 93.         92.33333333
  87.66666667 94.        ]
 [10.33333333  2.33333333  0.66666667 11.          2.66666667 10.66666667
   5.         16.33333333]
 [82.66666667 91.33333333 76.33333333 91.         81.33333333 90.66666667
  90.66666667 88.        ]]"
OGBench,humanoidmaze_medium_stitch,64.28333333333333,8.458903921641122,"[[75.66666667 88.66666667 75.         84.          0.66666667  5.
  74.33333333 89.66666667]
 [87.33333333 86.         86.66666667 88.33333333 91.         92.33333333
  90.33333333 86.33333333]
 [ 0.33333333 61.66666667 59.33333333 97.66666667 81.33333333 80.
  96.66666667 86.66666667]
 [ 0.          0.         20.          1.          0.          0.
   5.33333333  0.        ]
 [96.66666667 96.         96.66666667 98.         98.33333333 99.
  96.66666667 98.66666667]]"
