benchmark,task_name,mean,std,all_values
OGBench,antmaze_giant_navigate_singletask_task1_v0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
OGBench,antmaze_giant_navigate_singletask_task2_v0,0.3333333333333333,0.33333333333333337,"[0.6666666666666666, 0.0, 0.3333333333333333, 1.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.0]"
OGBench,antmaze_giant_navigate_singletask_task3_v0,0.08333333333333333,0.14433756729740646,"[0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
OGBench,antmaze_giant_navigate_singletask_task4_v0,0.08333333333333333,0.14433756729740646,"[0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0, 0.0]"
OGBench,antmaze_giant_navigate_singletask_task5_v0,0.6666666666666666,0.408248290463863,"[1.0, 0.3333333333333333, 1.3333333333333333, 0.6666666666666666, 0.3333333333333333, 1.0, 0.0, 0.6666666666666666]"
OGBench,antmaze_large_explore_singletask_task1_v0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
OGBench,antmaze_large_explore_singletask_task2_v0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
OGBench,antmaze_large_explore_singletask_task3_v0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
OGBench,antmaze_large_explore_singletask_task4_v0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
OGBench,antmaze_large_explore_singletask_task5_v0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
OGBench,antmaze_large_navigate_singletask_task1_v0,1.7083333333333333,0.789470638395684,"[0.6666666666666666, 2.0, 1.6666666666666667, 2.6666666666666665, 1.3333333333333333, 3.0, 1.6666666666666667, 0.6666666666666666]"
OGBench,antmaze_large_navigate_singletask_task2_v0,4.625,2.0442160953393467,"[6.0, 1.3333333333333333, 3.6666666666666665, 7.666666666666667, 3.0, 5.666666666666667, 3.0, 6.666666666666667]"
OGBench,antmaze_large_navigate_singletask_task3_v0,6.583333333333334,2.436698586202241,"[6.0, 6.333333333333333, 11.0, 6.666666666666667, 6.666666666666667, 9.0, 2.3333333333333335, 4.666666666666667]"
OGBench,antmaze_large_navigate_singletask_task4_v0,2.7916666666666665,0.9991315673568164,"[4.333333333333333, 1.3333333333333333, 3.0, 2.3333333333333335, 2.3333333333333335, 2.6666666666666665, 4.333333333333333, 2.0]"
OGBench,antmaze_large_navigate_singletask_task5_v0,3.7083333333333335,1.1234557302260635,"[4.0, 3.0, 5.666666666666667, 5.0, 4.0, 3.3333333333333335, 2.3333333333333335, 2.3333333333333335]"
OGBench,antmaze_large_stitch_singletask_task1_v0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
OGBench,antmaze_large_stitch_singletask_task2_v0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
OGBench,antmaze_large_stitch_singletask_task3_v0,0.8333333333333334,1.0137937550497031,"[0.0, 0.3333333333333333, 0.3333333333333333, 3.0, 0.6666666666666666, 0.0, 2.0, 0.3333333333333333]"
OGBench,antmaze_large_stitch_singletask_task4_v0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
