benchmark,task_name,mean,std,all_values
OGBench,antmaze_giant_navigate_singletask_task1_v0,12.916666666666668,14.403655014536337,"[32.333333333333336, 36.0, 0.0, 0.0, 13.0, 0.0, 22.0, 0.0]"
OGBench,antmaze_giant_navigate_singletask_task2_v0,50.708333333333336,23.470097701354188,"[22.0, 70.33333333333333, 73.0, 49.333333333333336, 66.33333333333333, 51.0, 4.666666666666667, 69.0]"
OGBench,antmaze_giant_navigate_singletask_task3_v0,22.25,9.237228420304918,"[25.666666666666668, 41.0, 23.333333333333332, 4.666666666666667, 21.333333333333332, 21.0, 21.0, 20.0]"
OGBench,antmaze_giant_navigate_singletask_task4_v0,1.7916666666666667,4.740304432324058,"[0.0, 0.0, 0.0, 0.0, 0.0, 14.333333333333334, 0.0, 0.0]"
OGBench,antmaze_giant_navigate_singletask_task5_v0,58.0,27.139557025779833,"[82.33333333333333, 55.666666666666664, 70.0, 35.0, 77.33333333333333, 87.66666666666667, 56.0, 0.0]"
OGBench,antmaze_large_stitch_singletask_task1_v0,90.70833333333334,1.5673535728170032,"[89.0, 88.33333333333333, 91.66666666666667, 90.0, 89.66666666666667, 92.0, 93.0, 92.0]"
OGBench,antmaze_large_stitch_singletask_task2_v0,67.79166666666667,6.647759647680813,"[72.0, 62.333333333333336, 78.33333333333333, 66.66666666666667, 64.33333333333333, 75.66666666666667, 66.0, 57.0]"
OGBench,antmaze_large_stitch_singletask_task3_v0,96.16666666666666,2.2110831935702664,"[97.66666666666667, 97.0, 98.0, 97.0, 96.33333333333333, 92.0, 98.33333333333333, 93.0]"
OGBench,antmaze_large_stitch_singletask_task4_v0,4.458333333333334,7.314250740088755,"[0.0, 0.0, 2.3333333333333335, 0.0, 22.666666666666668, 8.0, 1.0, 1.6666666666666667]"
OGBench,antmaze_large_stitch_singletask_task5_v0,89.625,2.2511571098733487,"[91.0, 92.33333333333333, 86.0, 89.33333333333333, 91.33333333333333, 87.0, 92.0, 88.0]"
OGBench,antsoccer_arena_stitch_singletask_task1_v0,56.0,5.997684738482194,"[66.66666666666667, 51.0, 57.666666666666664, 55.666666666666664, 46.333333333333336, 53.666666666666664, 62.666666666666664, 54.333333333333336]"
OGBench,antsoccer_arena_stitch_singletask_task2_v0,46.91666666666667,5.569634937168983,"[57.0, 49.333333333333336, 42.666666666666664, 50.0, 48.0, 44.333333333333336, 36.666666666666664, 47.333333333333336]"
OGBench,antsoccer_arena_stitch_singletask_task3_v0,20.458333333333332,4.342738191510053,"[19.333333333333332, 22.0, 27.666666666666668, 20.0, 17.666666666666668, 11.666666666666666, 22.333333333333332, 23.0]"
OGBench,antsoccer_arena_stitch_singletask_task4_v0,20.375,7.256103752473959,"[18.0, 20.333333333333332, 29.666666666666668, 4.666666666666667, 22.333333333333332, 16.333333333333332, 27.0, 24.666666666666668]"
OGBench,antsoccer_arena_stitch_singletask_task5_v0,3.6666666666666665,2.7487370837451075,"[3.0, 0.6666666666666666, 3.3333333333333335, 5.0, 1.6666666666666667, 0.6666666666666666, 9.333333333333334, 5.666666666666667]"
OGBench,cube_double_noisy_singletask_task1_v0,88.79166666666666,3.196949500869714,"[89.0, 87.33333333333333, 92.66666666666667, 82.66666666666667, 86.33333333333333, 91.66666666666667, 92.33333333333333, 88.33333333333333]"
