benchmark,task_name,mean,std,all_values
OGBench,antmaze_giant_navigate_singletask_task1_v0,17.458333333333332,3.7525454323994833,"[22.666666666666668, 12.666666666666666, 15.666666666666666, 14.0, 16.666666666666668, 14.666666666666666, 23.0, 20.333333333333332]"
OGBench,antmaze_giant_navigate_singletask_task2_v0,44.875,6.706003736288186,"[53.666666666666664, 52.0, 44.0, 49.666666666666664, 41.666666666666664, 31.0, 42.666666666666664, 44.333333333333336]"
OGBench,antmaze_giant_navigate_singletask_task3_v0,2.5,1.3228756555322954,"[4.0, 2.6666666666666665, 0.6666666666666666, 2.3333333333333335, 3.6666666666666665, 4.0, 2.3333333333333335, 0.3333333333333333]"
OGBench,antmaze_giant_navigate_singletask_task4_v0,20.0,19.9916649298318,"[52.0, 11.666666666666666, 51.666666666666664, 7.666666666666667, 0.0, 0.0, 10.000000000000002, 27.0]"
OGBench,antmaze_giant_navigate_singletask_task5_v0,81.41666666666667,6.054727262414241,"[88.0, 82.66666666666667, 82.66666666666667, 80.33333333333333, 89.66666666666667, 68.33333333333333, 80.66666666666667, 79.0]"
OGBench,antmaze_large_explore_singletask_task1_v0,91.83333333333333,6.125991983163033,"[97.33333333333333, 88.66666666666667, 77.66666666666667, 93.33333333333333, 95.0, 98.33333333333333, 93.66666666666667, 90.66666666666667]"
OGBench,antmaze_large_explore_singletask_task2_v0,86.41666666666666,5.187458165828638,"[80.33333333333333, 88.0, 86.66666666666667, 89.0, 77.0, 93.0, 85.0, 92.33333333333333]"
OGBench,antmaze_large_explore_singletask_task3_v0,99.125,0.5994789404140919,"[99.66666666666667, 100.0, 98.66666666666667, 98.33333333333333, 98.33333333333333, 99.66666666666667, 99.33333333333333, 99.0]"
OGBench,antmaze_large_explore_singletask_task4_v0,54.375,30.53160361730848,"[40.333333333333336, 94.0, 83.33333333333333, 64.33333333333333, 26.666666666666668, 25.0, 11.333333333333334, 90.0]"
OGBench,antmaze_large_explore_singletask_task5_v0,81.79166666666666,23.697712911211962,"[93.0, 95.33333333333333, 98.0, 94.66666666666667, 90.0, 26.0, 95.33333333333333, 62.0]"
OGBench,antmaze_large_navigate_singletask_task1_v0,97.66666666666666,0.5000000000000023,"[97.33333333333333, 98.0, 97.33333333333333, 97.0, 97.66666666666667, 98.0, 98.66666666666667, 97.33333333333333]"
OGBench,antmaze_large_navigate_singletask_task2_v0,92.20833333333334,1.6239312724920882,"[93.66666666666667, 89.66666666666667, 93.33333333333333, 92.33333333333333, 90.66666666666667, 91.33333333333333, 91.66666666666667, 95.0]"
OGBench,antmaze_large_navigate_singletask_task3_v0,98.45833333333334,1.8328597873268968,"[94.0, 100.0, 98.66666666666667, 98.66666666666667, 99.33333333333333, 99.33333333333333, 97.66666666666667, 100.0]"
OGBench,antmaze_large_navigate_singletask_task4_v0,94.41666666666667,0.8620067027323848,"[95.66666666666667, 94.0, 93.33333333333333, 95.66666666666667, 93.66666666666667, 94.33333333333333, 93.66666666666667, 95.0]"
OGBench,antmaze_large_navigate_singletask_task5_v0,96.54166666666667,0.8809322713277502,"[98.0, 97.0, 96.66666666666667, 95.33333333333333, 96.66666666666667, 96.0, 95.33333333333333, 97.33333333333333]"
